sku,vendor code
sku01671767281406,gobiz
sku01651202870628,AMZ.TH
sku01616126327215,LZC.PH
sku11616209042997,EZT.TH
sku01616209042993,EZT.TH
sku01616286005805,LZC.PH
sku31616470106781,EZT.TH
sku21616470106774,EZT.TH
sku11616470106767,EZT.TH
sku01616470106752,EZT.TH
sku01616641452492,AMZ.PH
sku31616727682156,CPO.PH
sku21616727682153,CPO.PH
sku11616727682149,CPO.PH
sku01616727682139,CPO.PH
sku01616910766892,AMZ.PH
sku01616991994957,LZC.PH
sku41617004885185,EZT.TH
sku31617004885182,EZT.TH
sku21617004885176,EZT.TH
sku11617004885172,EZT.TH
sku01617004787148,EZT.TH
sku01617073963698,AMZ.PH
sku21609908304261,CPO.PH
sku11609908304254,CPO.PH
sku01609908304239,CPO.PH
sku01617088510882,LZC.PH
sku01617158067969,AMZ.PH
sku21617242096523,LZC.PH
sku11617242096519,LZC.PH
sku01617242096510,LZC.PH
sku01617327051827,LZC.PH
sku41617329415902,BLW.PH
sku31592789645750,BLW.PH
sku21567673696698,BLW.PH
sku11567673696690,BLW.PH
sku01567673696675,BLW.PH
sku11617337471622,AMZ.PH
sku01617337471616,AMZ.PH
sku01618313031462,DPN.TH
sku01617679397011,EZTNEW.ID
sku41617696838179,AMZ.PH
sku31617696838174,AMZ.PH
sku21617696838170,AMZ.PH
sku11617696838167,AMZ.PH
sku01617696838158,AMZ.PH
sku01617762155652,LZC.PH
sku11617871397752,EZTNEW.ID
sku01617851320221,EZTNEW.ID
sku01617864655104,CPO.PH
sku11617939630657,CPO.PH
sku01617939630644,CPO.PH
sku01617954408139,LZC.PH
sku01618063407498,EZTNEW.ID
sku21618218335888,AMZ.PH
sku11618218335882,AMZ.PH
sku01618218335868,AMZ.PH
sku01618280530886,LZC.PH
sku181620099429822,ARN.TH
sku171620099429820,ARN.TH
sku161620099429818,ARN.TH
sku151620099429816,ARN.TH
sku141620099429814,ARN.TH
sku131620099429812,ARN.TH
sku121620099429810,ARN.TH
sku111620099429808,ARN.TH
sku101620099429807,ARN.TH
sku91620099429805,ARN.TH
sku81620099429803,ARN.TH
sku71620099429801,ARN.TH
sku61620099429798,ARN.TH
sku51620099429796,ARN.TH
sku41620099429793,ARN.TH
sku31619583430497,ARN.TH
