product_code,sku_code,merchant_code
ID06012,sku01621149759754,MID.08
ID06012,sku01621149759754,AMZ.ID
EZ.04.096.TH,sku11621226100768,LZC.TH
ID03023,sku01621315716083,MID.08
ID03023,sku01621315716083,AMZ.ID
ID03023,sku11621321578272,MID.08
ID03023,sku11621321578272,AMZ.ID
ID03023,sku21621321578300,MID.08
ID03023,sku21621321578300,AMZ.ID
ID03023,sku31621321578329,MID.08
ID03023,sku31621321578329,AMZ.ID
PH06021,sku01621496235839,WAR.PH
PH06021,sku11621496235851,WAR.PH
PH06034,sku01621572915437,LZC.PH
PH06034,sku11621572915456,LZC.PH
ID06022,sku01621676636681,MID.04
ID06022,sku01621676636681,MID.02
ID06022,sku01621676636681,MID.01
ID06022,sku01621676636681,CPO.ID
ID06022,sku01621676636681,WAR.ID
PH09016,sku01621918750864,WAR.PH
TH05008,sku01621997141167,LZC.TH
TH06009,sku01622091046652,LZC.TH
TH05008,sku11622629068077,LZC.TH
EZ.04.106,sku11622793040057,MPH.21
EZ.04.106,sku21622793040092,MPH.21
EZ.04.106,sku31622793040140,MPH.21
PH06027,sku01622948066424,CPO.PH
PH06027,sku11622948066441,CPO.PH
