product_code,sku_code,merchant_code
EZ.04.041,sku01598783375219,AMZ.PH
EZ.04.041,sku01598783375219,LZC.PH
EZ.04.041,sku01598783375219,WAR.PH
EZ.04.041,sku01598783375219,BLW.PH
EZ.04.041,sku01598783375219,HZT.PH
EZ.04.053,sku01599618670152,WAR.PH
EZ.04.048,sku01600136199536,WAR.PH
EZ.04.050,sku01600248493817,BLW.PH
EZ.04.050,sku01600248493817,LZC.PH
EZ.04.050,sku01600248493817,CPO.PH
EZ.04.041,sku11600309452907,CPO.PH
EZ.04.041,sku11600309452907,AMZ.PH
EZ.04.041,sku11600309452907,LZC.PH
EZ.04.041,sku11600309452907,WAR.PH
EZ.04.041,sku11600309452907,BLW.PH
EZ.04.041,sku11600309452907,HZT.PH
EZ.04.040,sku31600324571728,LZC.PH
EZ.04.040,sku31600324571728,CPO.PH
EZ.04.044,sku21600943148318,AMZ.PH
EZ.04.044,sku21600943148318,LZC.PH
EZ.04.044,sku21600943148318,WAR.PH
EZ.04.044,sku21600943148318,BLW.PH
EZ.04.044,sku21600943148318,ARN.PH
EZ.04.044,sku21600943148318,CPO.PH
EZ.04.052,sku01601624012838,WAR.PH
EZ.04.035,sku11601871762839,CPO.PH
EZ.04.035,sku11601871762839,BLW.PH
EZ.04.035,sku11601871762839,AMZ.PH
EZ.04.035,sku11601871762839,LZC.PH
EZ.04.035,sku11601871762839,WAR.PH
EZ.04.035,sku11601871762839,ARN.PH
EZ.04.047,sku31603073842994,LZC.PH
EZ.04.047,sku31603073842994,CPO.PH
EZ.04.047,sku31603073842994,AMZ.PH
EZ.04.055,sku01605510497328,CPO.PH
EZ.04.054,sku01606367210040,1M.PH
EZ.04.054,sku01606367210040,AMZ.PH
EZ.04.054,sku01606367210040,CPO.PH
EZ.04.054,sku01606367210040,LZC.PH
EZ.04.054,sku01606367210040,WAR.PH
EZ.04.054,sku01606367210040,BLW.PH
EZ.04.054,sku01606367210040,HZT.PH
ARN.01.002,sku01607660680980,ARN06
ARN.01.002,sku01607660680980,ARN-TWB.PH
ARN.01.002,sku01607660680980,ARN-BG.PH
ARN.01.002,sku01607660680980,ARN-BD.PH
ARN.01.002,sku01607660680980,ARN.PH
ARN.01.002,sku01607660680980,BLW.PH
ARN.01.002,sku01607660680980,CPO.PH
ARN.01.002,sku01607660680980,WAR.PH
ARN.01.002,sku01607660680980,HZT.PH
ARN.01.002,sku01607660680980,IPT.PH
ARN.01.002,sku01607660680980,AMZ.PH
ARN.01.002,sku01607660680980,LZC.PH
EZ.04.059,sku01609148969946,LZC.PH
EZ.04.059,sku11609148969952,LZC.PH
EZ.04.059,sku21609148969957,LZC.PH
EZ.04.055,sku11609237866754,CPO.PH
EZ.04.055,sku21609237866765,CPO.PH
EZ.04.033.TH,sku01609836391873,AMZ.TH
EZ.04.033.TH,sku01609836391873,EZT.TH
EZ.04.061,sku01609921538375,WARTT.PH
EZ.04.061,sku01609921538375,WARVK.PH
EZ.04.061,sku01609921538375,WARLG.PH
EZ.04.061,sku01609921538375,WAR.PH
EZ.04.062,sku01610330385925,CPO.PH
EZ.04.062,sku01610330385925,BLW.PH
EZ.04.062,sku01610330385925,AMZ.PH
EZ.04.060,sku01610333157920,ARN06
EZ.04.060,sku01610333157920,ARN-TWB.PH
EZ.04.060,sku01610333157920,ARN-BG.PH
EZ.04.060,sku01610333157920,ARN-BD.PH
EZ.04.060,sku01610333157920,ARN.PH
EZ.04.057,sku01610434097542,LZC.PH
EZ.04.057,sku11610434097546,LZC.PH
EZ.04.057,sku21610434097550,LZC.PH
EZ.04.063,sku01610508325480,AMZ.PH
EZ.04.063,sku11610508325484,AMZ.PH
EZ.04.083,sku01610510429951,BLW.PH
EZ.04.083,sku01610510429951,CPO.PH
EZ.04.083,sku01610510429951,LZC.PH
EZ.04.033.ID,sku01610594008329,MID.08
EZ.04.033.ID,sku01610594008329,MID.04
EZ.04.033.ID,sku01610594008329,MID.02
EZ.04.033.ID,sku01610594008329,MID.01
EZ.04.033.ID,sku01610594008329,CPO.ID
EZ.04.033.ID,sku01610594008329,AMZ.ID
EZ.04.033.ID,sku01610594008329,WAR.ID
EZ.04.058,sku01610616388239,AMZ.PH
EZ.04.058,sku11610616388245,AMZ.PH
EZ.04.058,sku21610616388255,AMZ.PH
EZ.04.058,sku31610616388258,AMZ.PH
EZ.04.058,sku41610616388263,AMZ.PH
EZ.04.058,sku51610616388267,AMZ.PH
EZ.04.058,sku61610616388270,AMZ.PH
QT_001,sku01611211916561,MPH.21
QT_001,sku01611211916561,MPH.07
QT_001,sku01611211916561,MPH.06
QT_001,sku01611211916561,MPH.10
QT_001,sku01611211916561,MPH.09
QT_001,sku01611211916561,MPH.11
QT_001,sku01611211916561,MPH.12
QT_001,sku01611211916561,MPH.03
QT_001,sku01611211916561,MPH.05
QT_001,sku01611211916561,MPH-06
QT_001,sku01611211916561,WARTT.PH
QT_001,sku01611211916561,WARVK.PH
QT_001,sku01611211916561,WARLG.PH
QT_001,sku01611211916561,ARN-TWB.PH
QT_001,sku01611211916561,ARN-BG.PH
QT_001,sku01611211916561,ARN-BD.PH
QT_001,sku01611211916561,ARN.PH
QT_001,sku01611211916561,AMZ.PH
QT_001,sku01611211916561,LZC.PH
QT_001,sku01611211916561,CPO.PH
QT_001,sku01611211916561,WAR.PH
EZ.04.028.TH,sku01611297887254,EZT.TH
EZ.04.083.TH,sku01611818718980,EZT.TH
EZ.04.100,sku01611997070921,EZT.TH
EZ.04.100,sku11611997153049,EZT.TH
EZ.04.056.ID,sku01612254100847,MID.02
EZ.04.056.ID,sku01612254100847,MID.01
EZ.04.056.ID,sku01612254100847,MID.08
EZ.04.056.ID,sku01612254100847,AMZ.ID
EZ.04.056.ID,sku01612254100847,CPO.ID
EZ.04.101,sku01612326128594,EZT.TH
EZ.04.090,sku01612346358683,WAR.PH
EZ.04.102,sku01612589023675,EZT.TH
EZ.04.102,sku11612589023678,EZT.TH
EZ.04.102,sku21612589134732,EZT.TH
EZ.04.103,sku01612593907660,EZT.TH
EZ.04.067,sku01613988470622,WAR.PH
EZ.04.067,sku11613988470639,WAR.PH
EZ.04.067,sku21613988470645,WAR.PH
EZ.04.084,sku01613988499173,WARLG.PH
EZ.04.084,sku01613988499173,WARTT.PH
EZ.04.084,sku01613988499173,WARVK.PH
EZ.04.084,sku01613988499173,WAR.PH
PH04008,sku01614134015745,LZC.PH
EZ.04.050,sku11614249146828,BLW.PH
